V1,V2,V3,V4
021050178FARMER,MAC FED.AGRICULTURAL MORTG. CORP.(GEN.)      ,Y,Y
021051180CHIPS,CHIPS ACCOUNT        ,Y,N20031021
021051274CLEARING,CORP DEPOSITORY TRUST COMPANY      ,Y,N20121213
021051287FICC,DEPOSITORY TRUST COMPANY       ,Y,N20121213
021051371GNMA,WASH GNMA WASH       ,N,Y20020625
021052040TREASURY,BBO U.S. TREAS BUYBACK OPERATION     ,N,Y20141107
021052367FEDWIRE,TEST BK B FEDWIRE FRB TEST BANK B  ,Y,N20141211
021052927UBS,BANK USA UBS BANK USA     ,N,Y20110401
021052943WELLS,GNMA-P&I WELLS FARGO GNMA-P&I      ,Y,Y20150813
021053065ITSGOV,NYFRB FRBNY GOVERNMENT WIRES      ,Y,N20120326
021054035DEF,TRUST CA DEFEASANCE TRUST COLLATERAL ACCOUNT    ,N,Y20041223
021054064DEF,TR RETIREMENT DEFEASANCE TRUST RETIREMENT ACCT    ,N,Y20041223
021054527DA,FARM CREDIT DISTRIBUTION ACCT-FARM CREDIT     ,Y,Y20060817
021054530DA,FCAC DISTRIBUTION ACCT-FCAC NYC      ,N,Y20090915
021054543DA,FHLB WASHS DISTRIBUTION ACCT-FHLBB WASH     ,Y,Y20140411
021054556DA,FICO DISTRIBUTION ACCT-FICO       ,Y,Y20060630
021054569DA,REFCO DISTRIBUTION ACCT-REFCO       ,Y,Y20060630
021054572DA,FREDDIE MAC DISTRIBUTION ACCT-FREDDIE MAC     ,Y,Y20060630
021054585DA,FANNIE MAE DISTRIBUTION ACCT-FANNIE MAE     ,Y,Y20060630
021054598DA,FARMER MAC DISTRIBUTION ACCT-FARMER MAC     ,Y,Y20060630
021054611DA,AFDB DISTRIBUTION ACCT-AFDB       ,Y,Y20060630
021054624DA,ADB DISTRIBUTION ACCT-ASIAN DEV BANK     ,Y,Y20060630
021054637DA,IADB DISTRIBUTION ACCT-IADB       ,Y,Y20060630
021054640DA,IBRD DISTRIBUTION ACCT-IBRD       ,Y,Y20060630
021054653DA,IFC DISTRIBUTION ACCT-IFC       ,Y,Y20060630
021054666DA,GNMA WASH DISTRIBUTION ACCT-GNMA WASH     ,Y,Y20060630
021054679DA,GNMA REMICS DISTRIBUTION ACCT-GNMA REMICS TRUSTE    ,Y,Y20060630
021054682DA,VETERAN AFFAIRSDISTRIBUTION ACCT-VETERAN AFFAIRS      ,Y,Y20060630
021054695DA,TVA DISTRIBUTION ACCT-TENNESSEE VAL AUTH     ,Y,Y20060630
021054718DA,US TREASURY DISTRIBUTION ACCT-US TREASURY     ,Y,Y20060630
021054721DA,SLM DISTRIBUTION ACCT-FRBNY DEFEA TR SLM    ,Y,Y20060630
021054734FARM,CREDIT DN P&IFARM CREDIT BANK DN P&I   ,Y,Y20060322
021054747FARM,CREDIT DB P&IFARM CREDIT BANK DB P&I   ,N,Y20150717
021054750FNMA,DN P&I FNMA DN P&I     ,Y,Y20060323
021054763FHLB,WASHS DN P&I FHLBB DN P&I    ,Y,Y20140414
021054802IBRD,DN P&I IBRD DN P&I ACCOUNT    ,Y,Y20060710
021054941FARMER,MAC SEC P&IFARMER MAC SEC P&I ACCOUNT   ,Y,Y20060509
021055979IFC,DN P&I IFC DN P&I     ,Y,Y20090624
021056318FARMER,MAC II FARMER MAC II     ,Y,N20100820
021056321NADB,P&I NADB P&I       ,Y,Y20100519
021056334DA,NADB DA NADB       ,Y,Y20100513
021059438BUREAU,OF OCEAN ENBUREAU OF OCEAN ENERGY MANAGEMENT   ,N,Y20140313
021080025IBRD,ACCT T IBRD ACCOUNT T     ,Y,Y
021080038NADB,NORTH AMERICAN DEVELOPMENT BANK      ,Y,Y20150106
021080054NADB,US CAIP NORTH AMER DEV BK US - CAIP CAPITAL,Y,N19990716
021080070ECBAC2,EUROPEAN CENTRAL BANK-ACCT 2      ,Y,Y20030220
021080083WHO,ACCT ONE WHO ACCT ONE/FOREIGN DEPARTMENT    ,Y,N
021080135UNITED,NATIONS UNITED NATIONS       ,Y,N20150312
021080148EUROPEAN,CEN BANK EUROPEAN CENTRAL BANK ACCT ECB   ,Y,Y
021080151ECB,AUSTRIA ECB ACCT OESTERREICHISCHE      ,Y,Y
021080164ECB,BELGIQUE ECB AC BANQUE NATIONALE BELGIQUE    ,Y,Y
021080177ECB,FINLAND ECB ACCT SUOMEN PANKKI     ,Y,Y
021080180TURKEY,SP FUNDS TURKSF       ,Y,Y20030924
021080193ECB,FRANCE ECB ACCT BANQUE DE FRANCE    ,Y,Y
021080232ADBACR,ADBACR/FOREIGN DEPARTMENT        ,Y,N20150312
021080245ADB,ACCT A ADB ACCT A/FOREIGN DEPARTMENT    ,Y,Y20140331
021080258ADB,ACCT N ADB ACCT N/FOREIGN DEPARTMENT    ,Y,N
021080261ECB,GERMANY ECB ACCT DEUTSCHE BUNDESBANK     ,Y,Y
021080274ECB,SPAIN ECB ACCT BANCO DE ESPANA    ,Y,Y
021080287ADB,FUND ACCT ADB FUND ACCT/FOREIGN DEPARTMENT    ,Y,N20150312
021080300AFDB,AFDB/FOREIGN DEPARTMENT        ,Y,Y
021080313AFDB,NTF AFDB NTF/FOREIGN DEPARTMENT      ,Y,Y
021080326ECB,IRELAND ECB ACCT CENTRAL BANK OF IRELAND   ,Y,Y
021080339ECB,ITALY ECB ACCT BANCA D ITALIA    ,Y,Y19990701
021080342ECB,LUXEMBOURG ECB AC BANQUE CEN DU LUXEMBOURG   ,Y,Y
021080355ECB,NETHERLANDS ECB ACCT DE NEDERLANDSCHE BK NV   ,Y,Y
021080368ECB,PORTUGAL ECB ACCT BANCO DE PORTUGAL    ,Y,Y
021080371AFDB-HIPC,AFD BANKAFRICAN DEVELOPMENT BK-HIPC AFD BANK    ,Y,Y20141121
021080384AFDB-HIPC,AFD FUNDAFRICAN DEVELOPMENT BK-HIPC AFD FUND    ,Y,Y20020326
021080407EBRD,EBRD/FOREIGN DEPARTMENT        ,Y,Y
021080410NETH,MOF FMS GOV NETHERLANDS-MIN OF FINANCE FMS   ,Y,Y20020613
021080436EBRD,NUCLEAR SAFE EBRD NUCLEAR SAFETY/FORIGN DEPART    ,Y,N
021080533URUGUAY,SP FDS ACTBANCO CENTRAL DEL URUGUAY-SP FDS ACT  ,Y,N20020806
021080546SLOVAKIA,#NAME?,Y,Y20021018
021080562IADB,ACCOUNT INTER-AMERICAN DEVELOPMENT BANK ACCT     ,Y,Y20010720
021080591ROMANIA,RAMP NAT'L BANK OF ROMANIA RAMP ACCT   ,Y,Y20021211
021080601SDNY,INV DIST SDNYD       ,N,Y20141107
021080630AFDB-HIPC,NTF AFRICAN DEVEL B-HIPC NT FUND    ,Y,Y20031124
021080669MONTENEGRO,CENTRAL BANK OF MONTENEGRO      ,Y,Y20040427
021080672SLOVAKIA,DES ACCTBNATL BK OF SLOVAKIA DESIGN ACCT B  ,Y,Y20040525
021080740TIMOR-LESTE,BANCO CENTRAL DE TIMOR-LESTE      ,Y,Y20130808
021080850IRAQ,CENTRAL BANK CENTRAL BANK OF IRAQ    ,Y,Y20041220
021080863BULGARIAN,DES ACCTBULGARIAN NATL BK DESIGNTD ACCT    ,Y,Y20050516
021080892DOM,REP CONSOLID BC REP DOMINICANA-CONSOLIDATION FUND    ,Y,Y20050406
021080902DOM,REP CONTINGEN BC REP DOMINICANA-CONTINGENCY FUND    ,Y,Y20050406
021080915SAO,TOME BANCO CENTRAL DE SAO TOME A PRINCIPE  ,Y,Y20050607
021080960SAO,TOME NATL OIL BC SAO TOME E PRINCIPE NATL OIL,Y,Y20050608
021080973TIMOR,PETRO FUND BANCO CENTRAL DE TIMOR-LESTE PET FND  ,Y,Y20130808
021081079IA,INVES CORP IA INVES CORP/FOREIGN DEPARTMENT    ,Y,N
021081082IRAQ,FMS CENTRAL BANK OF IRAQ-FMS ACCOUNT    ,Y,Y20061201
021081189AUSTRIA,DES ACCT OESTERREICHISCHE NATIONALBANK DES AC    ,Y,Y20070108
021081215NBK,INV PORT NATIONAL BANK OF KAZAK INV PORT  ,Y,Y20080404
021081228CABO,VERDE BANCO DE CABO VERDE     ,Y,Y20080807
021081231ANGOLA,BANCO NACIONAL DE ANGOLA      ,Y,Y20100726
021081244PHILIP,IP ACCT CENTRAL BANK OF THE PHILIPINNES INV  ,Y,Y20080624
021081260AFDB,MIC FUND AFRICAN DEVBK MIC FUND    ,Y,Y20150121
021081273BEAC-GABON,BEAC-GABON DEBT INVESTMENT ACCOUNT      ,Y,Y20080904
021081286SWAZILAND,RAMP CB SWAZILAND-RAMP ACCOUNT      ,Y,Y20080616
021081299RWANDA,RAMP BANQUE NATIONALE DU RWANDA RAMP    ,Y,Y20080616
021081309BANK,OF SLOVENIA BANK OF SLOVENIA     ,Y,Y20081010
021081341BOE,- NO. 2 ACCT BANK OF ENGLAND-NO. 2 ACCOUNT ,Y,Y20080915
021081354EUROCLEAR,BANK EUROCLEAR BANK ACCOUNT      ,Y,N20081230
021081367IBRD,WASH IBRD WASH/FOREIGN DEPARTMENT      ,Y,Y
021081406BOJ-OPS,ACCT 1 BANK OF JAPAN - OPERATIONS ACCOUNT 1 ,Y,N20080919
021081419BOC,- OPS ACCT 1 BANK OF CANADA-OPER ACCT 1 ,Y,N20080925
021081422NORGES,OPS ACCT 1 NORGES BANK- OPERATIONS ACCOUNT 1  ,Y,Y20081112
021081435DANMARKS,OPS ACCT1DANMARKS NAT'LBANK-OPER ACCT 1     ,Y,N20080925
021081448SVERIGES,OPS ACCT1SVERIGES RIKSBANK-OPER ACCOUNT 1     ,Y,Y20110810
021081451AUSSI,OPS ACCT 1 RESERVE BK OF AUSTRALIA-OPER ACCT 1 ,Y,N20080925
021081464AFRICAN,DEV.FUND AFRICAN DEVELOPMENT FUND-GEN ACCOUNT     ,Y,Y20150106
021081477AFRICAN,DB GL FUNDAFRICAN DEVELOPMENT BK FUND FOR GLR  ,Y,N20150107
021081493GEORGIA,USAID ACCTNATL BANK OF GEORGIA USAID ACCOUNT   ,Y,N20081030
021081503SINGAPORE,OPS SINGAPORE OPS ACCT 1     ,Y,N20090501
021081516KOREA,OPS ACCT 1 BANK OF KOREA-OPERATIONS ACCOUNT 1  ,Y,N20081125
021081529ZAMBIA,RAMP BANK OF ZAMBIA-RAMP ACCOUNT     ,Y,Y20081231
