V1,V2,V3,V4
111150027ARGENT,"TRUST CO NAARGENT TRUST COMPANY, NA    ",Y,Y20130717
111193550CENTRIC,FCU W MONRCENTRIC FEDERAL CREDIT UNION    ,Y,N20081110
111300958AMARILLO,NATL AMARILLO NATIONAL BANK      ,Y,Y
111301122FFIN,"ABILENE FIRST FINANCIAL BANK, N.A.     ",Y,Y20090708
111301436SUNDOWN,ST BK SUNDOWN STATE BANK     ,Y,Y
111301614KRESS,NATL KRESS NATIONAL BANK      ,Y,Y19990709
111301737CITY,BK LUBBOCK CITY BANK      ,Y,Y
111302095FIRST,BK SOUTHWESTFIRSTBANK SOUTHWEST       ,N,Y20141107
111302370ST,NATL BIG SPRINGSTATE NATIONAL BANK     ,Y,Y
111302545FST,B&T CHILDRESS FIRST BANK AND TRUST OF CHILDRESS  ,Y,N20130212
111302587FIRST,BALLINGER FIRST NATIONAL BANK      ,Y,N20131031
111302833WAGGONER,"VERNON WAGGONER NAT BK OF VERNON, THE   ",Y,Y20130723
111302846HERRING,VERNON HERRING BANK       ,Y,Y20050503
111303007FIRST,CAPITAL BANKFIRST CAPITAL BANK      ,Y,N20131031
111303010TEXAS,"REPUB BK NA TEXAS REPUBLIC BANK, N.A.   ",Y,N20050512
111303117INTERBANK,INTERBANK         ,Y,N20111104
111303489COMMERCIAL,"BRADY COMMERCIAL NATIONAL BANK OF BRADY, T   ",Y,Y20140616
111303492BRADY,NATL BRADY NATIONAL BANK      ,Y,N20131031
111303667COMMUNITY,BK SNYDECOMMUNITY BANK OF SNYDER     ,Y,Y20081118
111303748HASKELL,NATL HASKELL NATIONAL BANK      ,Y,Y
111304051FIRST,SEYMOUR FIRST BANK & TRUST     ,Y,Y20130605
111304064INTERBANK,INTERBANK         ,Y,N20101231
111304307HAMLIN,NATIONAL HAMLIN NATIONAL BANK      ,Y,Y
111304608FIRST,ANSON FIRST NATIONAL BANK      ,Y,N
111304637CITY,NATL COLO CTYCITY NATIONAL BANK     ,Y,Y
111304912FIRST,"BAIRD FIRST BANK TEXAS, SSB     ",Y,SN20131104
111305571SPUR,SECURITY BK SPUR SECURITY BANK     ,Y,SY20100310
111305746SANTA,ANNA NATL SANTA ANNA NATIONAL BANK    ,Y,Y
111306059FIRST,PADUCAH FIRST NATIONAL BANK OF PADUCAH TEXAS   ,Y,N20150224
111306088CROWELL,STATE CROWELL STATE BANK      ,Y,SY20120222
111306198FNB,ALBANY BRECKENFIRST NAT BK OF ALBANY/BRECKENRIDGE    ,Y,Y20090918
111306758FIRST,ROTAN FIRST NATIONAL BANK      ,Y,Y
111306871FFIN,"SAN ANGELO FIRST FINANCIAL BANK, N.A.    ",N,Y20141107
111307252FIRST,STERLING CTYFIRST NATIONAL BANK      ,Y,N20131104
111307265FIRST,TAHOKA FIRST NATIONAL BANK OF TAHOKA    ,Y,Y20091222
111307485ROSCOE,STATE ROSCOE STATE BANK      ,Y,N
111307663LUBBOCK,NATL LUBBOCK NATIONAL BANK      ,Y,Y
111307841FIRST,ELDORADO FIRST NATIONAL BANK      ,Y,N
111308057FIRSTBANK,SW FIRSTBANK SOUTHWEST       ,Y,Y20051104
111308358FIRST,"FLOYDADA FIRST NATIONAL BANK OF FLOYDADA, THE   ",Y,Y20130701
111308442BK,OF COM-MCLEAN BANK OF COMMERCE     ,Y,Y20081126
111308552WELLINGTON,STATE WELLINGTON STATE BANK      ,Y,Y
111308730LAMESA,NATL LAMESA NATIONAL BANK      ,Y,Y
111309030FST,ST-ABERNATHY FIRST STATE BANK      ,Y,SN20090729
111309234FIRST,ASPERMONT FIRST NATIONAL BANK OF ASPERMONT    ,Y,SN20110801
111310294FIR,UNITED DIMMITTFIRST UNITED BANK      ,Y,Y
111310391TEXAS,FNCL BANK TEXAS FINANCIAL BANK     ,Y,SN20130923
111310809ST,NATL GROOM STATE NATIONAL BANK     ,Y,SN20150219
111310870HAPPY,STATE BANK HAPPY STATE BANK     ,Y,Y20130328
111311413FST,COLORADO CITY FIRST BANK & TRUST    ,Y,SN20150529
111311620FST,ST MATADOR FIRST NATIONAL BANK     ,Y,N20141107
111311743FIRST,STATE BANK FIRST STATE BANK     ,Y,N20040105
111311785FIRST,MERTZON FIRST NATIONAL BANK      ,Y,Y
111312182OZONA,NATL OZONA NATIONAL BANK      ,Y,N20150505
111312535CROCKETT,NATIONAL CROCKETT NATIONAL BANK      ,Y,N20120126
111312894FST,ST BK GRAHAM FIRST STATE BANK    ,Y,N
111313000FIRST,"SONORA FIRST NATIONAL BANK OF SONORA, THE   ",Y,Y20101213
111313204FIRST,THROCKMORTONFIRST NATIONAL BANK OF THROCKMORTON     ,Y,Y20090608
111313631CITIZENS,CROSBYTONCITIZENS NATIONAL BANK       ,Y,N20131104
111314575VISTA,BANK VISTA BANK       ,Y,SY20101130
111315794FNB,SPEARMAN FIRST NATIONAL BANK      ,Y,SY20110103
111316612INTERBANK,INTERBANK         ,Y,N20111007
111316793MULESHOE,ST MULESHOE STATE BANK      ,Y,N20131104
111316829AMISTAD,BANK AMISTAD BANK       ,Y,SN20130923
111316887PEOPLES,BANK LORENPEOPLES BANK       ,Y,N20131105
111317569TEXAS,NATL SWEETWATEXAS NATIONAL BANK      ,Y,Y20031103
111317637SEC,ST WINTERS SECURITY STATE BANK     ,Y,SY20130530
111317844FST,ST SPEARMAN FIRST STATE BANK     ,Y,N
111317857COMPASS,BK LUBBOCKCOMPASS BANK       ,Y,N20080425
111318063INTERBANK,INTERBANK         ,Y,N20110103
111318584PERRYTON,NATL PERRYTON NATIONAL BANK      ,Y,N
111318610MENARD,BANK MENARD BANK       ,Y,N20131230
111319347FST,BK & TR LUBBOCFIRST BANK & TRUST   ,Y,Y20141031
111319538FIRST,QUITAQUE FIRST NATIONAL BANK OF QUITAQUE    ,Y,N20091216
111320006CITIZENS,"BANK, NA CITIZENS BANK, N.A.     ",Y,N20131105
111321063AIMBANK,AIMBANK         ,Y,SY20150430
111321270SECURITY,BK ODESSASECURITY BANK       ,Y,N20120126
111321717CENTENNIAL,BK CENTENNIAL BANK       ,Y,Y20130904
111321720FIRST,DALHART FIRST NATIONAL BANK IN DALHART    ,Y,SN20100817
111321814COLEMAN,CTY ST COLEMAN COUNTY STATE BANK    ,Y,N
111321827ROBERT,LEE ST BK ROBERT LEE STATE BANK   ,Y,N
111322538SEC,LITTLEFIELD SECURITY STATE BANK      ,Y,Y
111322664WEST,TEX ST SNYDERWEST TEXAS STATE BANK    ,Y,Y
111322729HAPPY,STATE BANK HAPPY STATE BANK     ,Y,N20150116
111322813INTERBANK,INTERBANK         ,Y,N20101231
111322994PLAINSCAPITAL,BANKPLAINSCAPITAL BANK        ,Y,Y20110408
111323207PLAINS,ST BK PLAINS STATE BANK     ,Y,N20131105
111323731WESTERN,BANK WESTERN BANK       ,Y,Y20141107
111323809BANK,OF TEXAS BANK OF TEXAS     ,Y,SN20100401
111323906TEXAS,ST SAN ANG TEXAS STATE BANK    ,Y,Y
111323922ABC,WOLFFORTH AMERICAN BANK OF COMMERCE     ,Y,Y
111323951FIRST,NATL BORGER INTERBANK       ,Y,N20111104
1113242931ST,NATL HEREFORD FIRST NATIONAL BANK OF HEREFORD   ,Y,Y20090401
111324921BANK,OF SAN ANGELOFIRST NATIONAL BANK     ,Y,N20100225
111325797LONE,STAR ST BK TXLONE STAR STATE BANK OF WEST TEXAS,Y,N20080204
111900549NATL,"BK OF TEX FTWNATIONAL BK OF TX AT FORT WORTH,",Y,Y20110407
111900578LIBERTY,PARIS LIBERTY NATIONAL BANK      ,Y,Y
111900581EXTRACO,"BK TEMPLE EXTRACO BANKS, N.A.     ",Y,Y
111900594COMMUNITY,BK&TRUSTCOMMUNITY BANK & TRUST      ,Y,N20150505
111900604AMER,"NATL WACO AMERICAN BANK, N.A.     ",Y,Y
111900756SW,BK FT WORTH SOUTHWEST BANK     ,Y,Y
111901014CAPITAL,ONE CAPITAL ONE       ,Y,N20090130
111901234LEGACYTEXAS,BANK LEGACYTEXAS BANK       ,Y,Y20050718
111901467FST,ST GAINESVILLEFIRST STATE BANK      ,Y,Y
111901519AMERICAN,TERRELL AMERICAN NATIONAL BANK OF TEXAS    ,Y,Y
111901564INTERBANK,INTERBANK         ,Y,N20101231
111901580CITZ,BROWNWOOD CITIZENS NATIONAL BANK      ,Y,N20000404
111901629CITIZENS,NATL BK CITIZENS NATIONAL BANK OF TEXAS   ,Y,Y20050930
111901645AMER,SHERMAN AMERICAN BANK OF TEXAS     ,Y,Y
111901946CITY,SULPH SPRINGSCITY NATIONAL BK OF SULPHUR SPRINGS   ,Y,Y20110311
111901959COMMUNITY,BANK COMMUNITY BANK       ,N,Y20141107
111901975ALLIANCE,BANK ALLIANCE BANK       ,Y,Y
111901988FIRST,WEATHERFORD FIRST NATIONAL BANK      ,Y,SY20110912
111902000COMPASS,BK FT. WORCOMPASS BANK      ,Y,N20141107
111902055BENCHMARK,BENCHMARK BANK        ,Y,N20130403
111902398FORT,HOOD NATL FORT HOOD NATIONAL BANK    ,Y,Y
111902424TEXAS,BK BRWNWOOD TEXAS BANK      ,Y,Y
111902806CLASSIC,"BK NA TX CLASSIC BANK, N.A.    ",Y,Y20071102
111902819CITIZENS,NATL BK CITIZENS NATIONAL BANK     ,Y,Y20020327
111903151CITZ,HENDERSON CITIZENS NATIONAL BANK      ,Y,Y
111903232TEXAS,"EXCHANGE BK TEXAS EXCHANGE BANK, SSB    ",Y,Y20140121
111903245FIRST,NATL CTRL TXFIRST NATIONAL BANK OF CENTRAL TEXAS  ,Y,Y20090226
111903290LEGEND,"BK BOWIE TXLEGEND BANK, N.A.     ",Y,Y20070301
111903407COMANCHE,NATL COMANCHE NATIONAL BANK      ,Y,Y
111903465INCOMMONS,"BK. N.A.INCOMMONS BANK, N.A.      ",Y,SY20100625
111903517PINNACLE,BK TX PINNACLE BANK      ,Y,N20120126
111903591FREEDOM,BK DUBLIN THE DUBLIN NATIONAL BANK    ,Y,SN20060818
111903931FIRST,TX LAMPASAS FIRST TEXAS BANK     ,Y,Y
111904150FST,ST CARTHAGE FIRST STATE BANK & TRUST CO  ,Y,Y
111904192FIRST,MT VERNON FIRST NATIONAL BANK     ,Y,Y
111904231CITY,NATL SAN SABACITY NATIONAL BANK     ,Y,Y19990709
111904419NTL,BK GATESVILLE NATIONAL BANK      ,Y,Y
111904480FIRST,MC GREGOR FIRST NATIONAL BANK OF MCGREGOR   ,Y,Y20130813
111904503TOWN,"NO BK, NA TOWN NORTH BANK, N.A.   ",Y,Y20020710
111904817NORTHSTAR,BK OF TXNORTHSTAR BANK OF TEXAS    ,Y,N20131106
111904859FIRST,WINNSBORO FIRST NATIONAL BANK      ,Y,Y
111904943TEXAS,BANK TEXAS BANK       ,Y,Y20100119
111905133POINTWEST,BK TX POINTWEST BANK      ,Y,Y20070716
111905159STATE,"NATL WEST STATE NATIONAL BANK IN WEST, THE  ",Y,N20150224
111905227CIERA,BANK CIERA BANK       ,Y,Y20131206
111905230INTERBANK,INTERBANK         ,Y,N20110812
111905324FIRST,"COOPER FIRST NATIONAL BANK OF COOPER, THE   ",Y,SN20150312
111905337FNB,"COOPER TX FIRST NATIONAL BANK OF COOPER, THE  ",N,Y20141107
111905340FIDELITY,WACO FIDELITY BANK OF TEXAS     ,N,Y20141107
111905434FIRST,KEMP FIRST NATIONAL BANK      ,Y,SN20100406
111905609FIRST,GILMER FIRST NATIONAL BANK OF GILMER    ,Y,N20131107
111905612GILMER,NATL GILMER NATIONAL BANK      ,Y,SY20091223
111905641JACKSBORO,NATL JACKSBORO NATIONAL BANK      ,Y,Y
111905764TEXAS,STAR BANK TEXAS STAR BANK     ,Y,Y20031014
111906006POINTBANK,POINTBANK         ,Y,Y20100120
111906048LAKESIDE,ROCKWALL LAKESIDE NATIONAL BANK      ,Y,Y
111906161FIRST,GRANBURY FIRST NATIONAL BANK      ,Y,N
111906271FIRST,KILLEEN FIRST NATIONAL BANK TEXAS     ,Y,Y20050728
111906349SECURITY,BK CRAWFOSECURITY BANK OF CRAWFORD     ,Y,SY20131210
111906462FST,ST CHICO FIRST STATE BANK     ,Y,N
111906501TEXAS,HERITAGE NATTEXAS HERITAGE NATIONAL BANK     ,Y,N20080429
111906611MORRIS,"CO NAPLES MORRIS COUNTY NATIONAL BANK, THE   ",Y,Y20130930
111906624GRAND,BK OF TX GRAND BANK OF TEXAS   ,Y,Y20020709
111906747MILL,CNTY GOLDTHWAMILLS COUNTY STATE BANK     ,Y,N20131107
111906860INTERBANK,INTERBANK         ,Y,N20101231
111906996GRANDVIEW,BANK GRANDVIEW BANK       ,Y,N20070309
111907021F&M,DE LEON FARMERS AND MERCHANTS BANK    ,N,Y20100811
111907089ST,BK DEKALB STATE BANK OF DEKALB    ,Y,SN20131108
111907102FIRST,"EMORY FIRST NATIONAL BANK OF EMORY, THE   ",Y,N20141110
111907144AMER,WICHITA FALLSAMERICAN NATIONAL BANK & TRUST    ,Y,N20130904
111907199CENTRAL,NATL WACO CENTRAL NATIONAL BANK     ,Y,Y
111907348FIRST,"MOODY FIRST NATIONAL BANK OF MOODY, THE   ",Y,SN20120625
111907429SPRING,HILL ST BK SPRING HILL STATE BANK   ,Y,N20130502
111907445COMPASS,BK RICHARDCOMPASS BANK       ,Y,N20030814
111907717FIRST,CELESTE FIRST BANK OF CELESTE     ,Y,N20150403
111907775FIRST,B&T DAWSON FIRST BANK AND TRUST COMPANY   ,Y,N
111907788FST,BK BURKBURNETTFIRST BANK       ,Y,SY20100510
111907827FIRST,EDGEWOOD FIRST NATIONAL BANK      ,Y,N20000405
111907940HORIZON,"BK AUSTIN HORIZON BANK, SSB     ",Y,Y20131029
111907979TEXAS,BK FINANCIALTEXAS BANK FINANCIAL      ,Y,N20131209
111908208AMER,MT PLEASANT AMERICAN NATIONAL BANK     ,Y,N20131112
111908583FIRST,TRENTON FIRST NATIONAL BANK OF TRENTON    ,Y,SY20111115
111908758FIRST,LIPAN FIRST NATIONAL BANK      ,Y,N
111908949TEXAS,FIRST RIESELTEXAS FIRST STATE BANK     ,Y,Y20000726
111908965CITZ,ST BK BUFFALOCITIZENS STATE BANK     ,Y,Y20000622
111909281FIRST,BURLESON FIRST NATIONAL BANK OF BURLESON    ,Y,N20120126
111909362CITZ,WILLS POINT CITIZENS NAT'L BANK OF WILLS POINT  ,Y,Y19990709
111909391CENDERA,"BANK, N.A.CENDERA BANK, N.A.      ",Y,Y20130725
111909579TRIUMPH,"SAVING BK TRIUMPH SAVINGS BANK, SSB    ",Y,SN20150806
111909676FST,"STAR BREMOND FIRST STAR BANK-BREMOND, SSB    ",Y,Y20081204
111909773BUCKHOLTS,ST BK BUCKHOLTS STATE BANK     ,Y,N
111909870LAMAR,NATL PARIS LAMAR NATIONAL BANK     ,Y,N20131113
111909993CITZ,ST BK TYLER CITIZENS STATE BANK    ,Y,Y20031024
111910005FST,STATE TEMPLE FIRST STATE BANK CENTRAL TEXAS   ,Y,N20131113
111910092FIRST,GROESBECK FIRST NATIONAL BANK      ,Y,N20040611
111910160FST,SEC CRANFILLS FIRST SECURITY STATE BANK    ,Y,Y19990709
111910445GLADEWATER,NATL GLADEWATER NATIONAL BANK      ,Y,Y19990707
111910762TITAN,"BANK TITAN BANK, N.A.      ",Y,Y20111031
111911033FST,"HUGHES SPRINGSFIRST NAT BK OF HUGHES SPRINGS, THE  ",Y,N20140228
111911224JUSTIN,STATE BANK JUSTIN STATE BANK     ,Y,Y
111911321F,& M ST BK KRUM FIRST UNITED BANK AND TRUST,Y,N20141107
111911965FARMERS,NEWCASTLE FARMERS STATE BANK OF NEWCASTLE    ,N,Y20141231
111912197CITY,CORSICANA CITY NATIONAL BANK      ,Y,SN20100111
111912388POWELL,ST BK POWELL STATE BANK     ,Y,N
111912498BTH,BK NA BTH BANK NA     ,Y,Y20150107
111912605FIRST,ST BK RICE FIRST STATE BANK    ,N,Y20141107
111912744WOODHAVEN,FTW WOODHAVEN NATIONAL BANK      ,Y,Y
111913170PANOLA,CARTHAGE PANOLA NATIONAL BANK      ,Y,N
111913248FIRST,TOM BEAN FIRST NATIONAL BANK     ,Y,N
111913329FNB,BOSQUE COUNTY FIRST NATIONAL BANK BOSQUE COUNTY   ,Y,N20131114
111913688PILGRIM,BANK PILGRIM BANK       ,Y,Y20030723
111913879TEX,HERTG CROSS PLTEXAS HERITAGE BANK     ,Y,SY20100108
111914852HAN,BK LA HANMI BANK      ,Y,N20150415
111914878FIRST,EVANT FIRST NATIONAL BANK      ,Y,N20050728
111914881NORMANGEE,ST NORMANGEE STATE BANK      ,Y,Y20070125
111914917COMMUNITY,LONGVIEWCOMMUNITY BANK        ,Y,Y
111915039FARMERS,GROESBECK FARMERS STATE BANK      ,Y,Y
111915327GUARANTY,"BK NA GUARANTY BANK AND TRUST , NA  ",Y,N20140701
111915770FIRST,DUBLIN FIRST NATIONAL BANK OF DUBLIN    ,Y,N20090930
111916180HERITAGE,PEARLAND HERITAGE BANK       ,Y,Y20140710
111916326INDP,BK MCKINNEY INDEPENDENT BANK      ,Y,N20120126
111916436LIBERTY,BANK LIBERTY BANK       ,Y,Y20111209
111916452FIRST,WICH FALLS FIRST NATIONAL BANK     ,Y,Y
111916588TEXANA,"BANK TEXANA BANK, NATIONAL ASSOCIATION     ",Y,Y20090407
111916656PEOPLES,BK PARIS PEOPLES BANK      ,Y,Y20090224
111916698BANK,"OF DE SOTO BANK OF DESOTO, N.A.   ",Y,N20131114
111916724BK,WEST IRVING BANK OF THE WEST    ,Y,Y20060713
111916915RIVERBEND,FTW RIVERBEND BANK       ,Y,Y20020404
111917309SANGER,BK SANGER SANGER BANK      ,Y,N20000405
111920312ENNIS,STATE BANK ENNIS STATE BANK     ,Y,N20131119
111920765CORSICANA,NATL BK COMMUNITY NATIONAL BK & TR OF TEXAS ,Y,Y20080516
111921230FFIN,"CLEBURNE FIRST FINANCIAL BANK, N.A.     ",N,Y20141107
111921777FST,ST BK ATHENS FIRST STATE BANK    ,Y,Y
111922132TX,"STAR BK LOTT TEXAS STAR BANK, SSB   ",Y,N20131119
111922624CITZ,BANK KILGORE CITIZENS BANK      ,Y,Y
111923238TEXAS,BK AND TR COTEXAS BANK AND TRUST COMPANY  ,Y,Y20130419
111923607SOUTHSIDE,BK TYLERSOUTHSIDE BANK       ,Y,Y
111923898FIRST,ST MESQUITE FIRST STATE BANK     ,Y,N20131119
111923937FIRST,TX KILLEEN FIRST TEXAS BANK     ,Y,Y
111924075STAR,BANK OF TEXASSTAR BANK OF TEXAS    ,Y,N20121105
111924237SOUTHSIDE,BANK SOUTHSIDE BANK       ,Y,N20090812
111924282COMM,NATL TEXARKANCOMMERCIAL NATIONAL BK OF TEXARKANA    ,Y,N20150312
111924318VERITEX,CMNTY BK VERITEX COMMUNITY BANK     ,Y,N20131001
111924350KILGORE,NATL BK KILGORE NATIONAL BANK     ,Y,N20001120
111924392FNB,FRISCO FIRST NATIONAL BANK OF OMAHA    ,Y,N20030808
111924538TEXAS,"REPUBLIC BK TEXAS REPUBLIC BANK, N.A.    ",Y,N20100106
111924619BANK,SNB BANK SNB       ,Y,N20141003
111924622WORTHINGTON,NATL WORTHINGTON NATIONAL BANK      ,Y,N20021121
111924651INDEPENDENT,BK TX INDEPENDENT BANK OF TEXAS    ,Y,N20030501
111924716TRINITY,"BANK, N.A.TRINITY BANK, N.A.      ",Y,Y20030523
111924994SOVEREIGN,BANK SOVEREIGN BANK       ,Y,Y20070411
111925032BANK,OF THE OZARKSBANK OF THE OZARKS    ,Y,N20040819
111925113TEXAS,BRAND BK TEXAS BRAND BANK     ,Y,Y20090317
111925508MERIDIAN,BANK MERIDIAN BANK TEXAS      ,Y,N20150710
111925744ACCESSBANK,TEXAS ACCESSBANK TEXAS       ,Y,N20111018
111925935LIBERTY,CAPITAL BKLIBERTY CAPITAL BANK      ,Y,SN20090504
111993695FIRST,COMMAND BK FIRST COMMAND BANK     ,Y,Y20090421
111993747SYNERGY,"BANK SSB SYNERGY BANK,SSB      ",Y,SN20081021
111993776WASH,"MUT BANK JPMORGAN CHASE BANK, NA    ",Y,N20100127
111994063TEXANS,CU RICHARDSTEXANS CREDIT UNION      ,Y,N20070416
111994115PROVIDENCE,"BK TX PROVIDENCE BANK OF TEXAS, SSB   ",Y,N20070831
112000011FRB,EL PASO FEDERAL RESERVE BANK     ,Y,N20131119
112017619WESTSTAR,BANK WESTSTAR BANK       ,Y,Y20120221
112024437UNITED,BK EL PASO UNITED BANK OF EL PASO DEL NORTE,Y,N20130726
112093808CAP,"BK SSB EL PASOCAPITAL BANK, SSB    ",Y,N20070105
112200439FIRST,AMERICAN FIRST AMERICAN BANK      ,Y,Y20090130
112200620JAMES,POLK STONE THE JAMES POLK STONE COMMUNITY BANK  ,Y,Y20100504
112200824WESTERN,LORDSBURG WESTERN BANK       ,Y,Y
112201085WEST,COMM CARLSBADWESTERN COMMERCE BANK      ,Y,Y
112201218CITIZENS,BK CLOVISCITIZENS BANK OF CLOVIS     ,Y,N20131120
112201289CITZ,LAS CRUCES CITIZENS BANK OF LAS CRUCES   ,Y,Y
112201797CARLSBAD,NATL CARLSBAD NATIONAL BANK      ,Y,Y
112201836LEA,COUNTY ST BK LEA COUNTY STATE BANK   ,Y,Y
112201959FIRST,SOCORRO FIRST STATE BANK      ,Y,Y
112201988WESTERN,ARTESIA WESTERN BANK       ,Y,Y
112202123FIRST,ALAMOGORDO FIRST NATIONAL BANK      ,Y,Y
112202372FIRST,NM BANK FIRST NEW MEXICO BANK    ,Y,Y
112202660WESTERN,CLOVIS WESTERN BANK OF CLOVIS     ,Y,N
112203038WESTERN,ALAMOGORDOWESTERN BANK        ,Y,N20131119
112203122VALLEY,ROSWELL VALLEY BANK OF COMMERCE     ,Y,N20140623
112206297BK,SW ROSWELL BANK OF THE SOUTHWEST    ,Y,N20131112
112206763WESTERN,HERITAGE WESTERN HERITAGE BANK      ,Y,Y20090305
112206776THE,"BANK OF CLOVISBANK OF CLOVIS, THE    ",Y,Y20110707
112206792AMER,HERITAGE CLOVAMERICAN HERITAGE BANK      ,Y,Y20011217
112304678W,TEX N/B ALPINE WEST TEXAS NATIONAL BANK   ,Y,Y20030425
112304733BIG,BEND BKS MARFABIG BEND BANKS N.A.    ,Y,N20091015
112307222FIRST,STANTON FIRST NATIONAL BANK      ,Y,N
112311713NATL,BK OF ANDREWSTHE NATIONAL BANK OF ANDREWS   ,Y,N20131115
112319524FIRST,FABENS FIRST NATIONAL BANK      ,Y,Y20120201
112320788TRANSPECOS,BANKS TRANSPECOS BANKS       ,Y,Y20090226
112321318PECOS,"CNTY FT STOCPECOS COUNTY STATE BANK, THE   ",Y,N20131115
112321839WEST,TEX BK ODESSAWEST TEXAS STATE BANK    ,Y,N20131115
112322508SOUTH,W BK WINK SOUTHWEST BANK     ,Y,N20020304
112323086COMMERCIAL,ST BK COMMERCIAL STATE BANK     ,Y,Y
112323387FIRST,FT STOCKTON FIRST NATIONAL BANK OF FORT STOCKTON  ,Y,Y20130930
112323594TEJAS,BANK TEJAS BANK       ,Y,SN20110909
113000049FRB,HOUSTON FEDERAL RESERVE BANK      ,Y,N20131115
113000609JPMCHASE,"TEXAS JPMORGAN CHASE BANK, NA     ",Y,N20141107
113000968WHITNEY,BANK WHITNEY BANK       ,Y,N20141107
113001077CENTRAL,HOUS CENTRAL BANK       ,Y,Y
113001242UNITY,NATL BK HOUSUNITY NATIONAL BANK OF HOUSTON   ,Y,Y20120725
113002296CAPITAL,BK HOUSTONCAPITAL BANK       ,Y,Y20100811
113003130WHITNEY,BANK WHITNEY BANK       ,N,Y20141107
113003392FIRST,BANK TOMBALLREGIONS BANK       ,N,Y20141107
113007835BANCO,POPULAR NA BANCO POPULAR NORTH AMERICA    ,Y,N20141107
113008083TRADITION,BK ALAMOTRADITION BANK       ,Y,Y20040525
113008465WOODFOREST,N/B HOUWOODFOREST NATIONAL BANK      ,Y,Y20100225
113010547COMPASS,BANK N A COMPASS BANK     ,Y,N20000718
113011119STATE,BK TX HOUS THE STATE BANK OF TEXAS  ,Y,N
113011245BNP,"PARIBAS HOUS BNP PARIBAS, HOUSTON AGENCY    ",Y,SN20111129
113011258AMEGY,"BANK, N.A. AMEGY BANK, N.A.     ",Y,Y20050926
113012163CHASEWOOD,BK HOUS CHASEWOOD BANK      ,Y,Y19990730
113012503EW,BK SMRINO EAST WEST BANK     ,Y,N20141107
113015500GOLDEN,"BK NA HOUS GOLDEN BANK, NA    ",Y,Y20080421
113017346EW,BK SMRINO EAST WEST BANK     ,Y,N20140509
113024009SW,NATL BANK HOUS SOUTHWESTERN NATIONAL BANK    ,Y,Y20100519
113024106AMER,FST NATL HOUSAMERICAN FIRST NATIONAL BANK    ,Y,Y19990623
113024164GREEN,"BK HOUSTON GREEN BANK, NATIONAL ASSOCIATION    ",Y,Y20070921
113024672BBVA,"BANCOMER,S.A.BBVA BANCOMER, S.A.       ",Y,Y20040116
113024957POST,"OAK BANK POST OAK BANK, N.A.    ",Y,N20131118
113025150PATRIOT,BK HOUSTONPATRIOT BANK       ,Y,Y20110324
113025231BK,"OF RIVER OAKS BANK OF RIVER OAKS, THE  ",Y,N20100106
113025260TEXAS,"CITIZENS BK TEXAS CITIZENS BANK, N.A.    ",Y,Y20070216
113025299LONE,STAR BANK LONE STAR BANK     ,Y,N20100415
113025422ICON,"BANK ICON BANK OF TEXAS, N.A.    ",Y,N20070215
113025480WESTBOUND,BK KATY WESTBOUND BANK      ,Y,N20070615
113025723ALLEGIANCE,BANK TXALLEGIANCE BANK TEXAS      ,Y,Y20121228
113025765BK,OF NOVA SCOTIA THE BANK OF NOVA SCOTIA  ,Y,N20120529
113025804MEMORIAL,"CITY BANKCOMMUNITYBANK OF TEXAS, NA     ",Y,N20150717
113025972MINT,"NATIONAL BANKMINT NATIONAL BANK, THE     ",Y,SN20090115
113093852WFBSC,"HOUSTON TX WELLS FARGO BANK SOUTH CENTRAL, NA  ",Y,SN20101115
113093881NIZARI,PROGRESSIVENIZARI PROGRESSIVE FCU       ,Y,N20110413
113094136INTEGRITY,"BANK SSBINTEGRITY BANK, SSB      ",Y,Y20121226
113094149THIRD,COAST SSB THIRD COAST BANK SSB    ,Y,Y20091204
113100091MOODY,NATIONAL BK MOODY NATIONAL BANK     ,Y,Y20030508
113100570HOMETOWN,"BK GALVESHOMETOWN BANK, N.A.      ",Y,Y19990519
113101317FIRST,LK JACKSON FIRST NATIONAL BANK     ,Y,Y
113101524BK,OF SAN JACINTO BANK OF SAN JACINTO COUNTY  ,Y,Y
113102714COMM,"NACOGDOCHES COMMERCIAL BANK OF TEXAS, N.A.    ",Y,Y
113103276AUSTIN,"BK NA JACKSAUSTIN BANK, TEXAS NATIONAL ASSN   ",Y,Y20091007
113103687FIRST,"BELLVILLE FIRST NATIONAL BK OF BELLVILLE, THE   ",Y,Y20130827
113103797VISTA,"BANK TEXAS COMMUNITYBANK OF TEXAS, NA    ",Y,N20130823
113104000FIRST,HUNTSVILLE FIRST NATIONAL BANK OF HUNTSVILLE    ,Y,Y20111118
113104275CITIZENS,STATE BK CITIZENS STATE BANK     ,Y,Y
113104534NBT,LA GRANGE NATIONAL BANK & TRUST    ,Y,N20150130
113104712FNB,OF GIDDINGS FIRST NAT'L BANK OF GIDDINGS   ,Y,Y
113104796FIRST,EL CAMPO NEWFIRST NATIONAL BANK     ,Y,Y20021018
113104806COM,ST BK EL CAMPOCOMMERCIAL STATE BANK    ,Y,Y20130830
113104880FIRST,EAGLE LAKE FIRST NATIONAL BANK OF EAGLE LAKE  ,Y,Y20100621
113105070FARMERS,ST CENTER FARMERS STATE BANK     ,Y,N20131118
113105452FIRST,"LIVINGSTON FIRST NATIONAL BK OF LIVINGSTON, THE   ",Y,Y20101215
